index,text,label,agreement,num_votes,sample_set
train_01_0,"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .",1,0.666666667,3,train_01
train_01_1,"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",0,1,3,train_01
train_01_2,His attackers allegedly drank his blood .,0,1,3,train_01
train_01_3,"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0,1,3,train_01
train_01_4,`` It the protest was something which happened outside the labour structures .,0,1,3,train_01
train_01_5,"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",1,1,3,train_01
train_01_6,"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .",1,1,3,train_01
train_01_7,Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,1,1,3,train_01
train_01_8,Table grape harvesters started protesting about their working conditions in De Doorns last month .,0,0.666666667,3,train_01
train_01_9,The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,1,1,3,train_01
train_01_10,The farmworkers ' strike resumed on Tuesday when their demands were not met .,1,1,3,train_01
train_01_11,"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .",1,0.666666667,3,train_01
train_01_12,It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,0,0.666666667,3,train_01
train_01_13,Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,0,0.666666667,3,train_01
train_01_14,VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams .,0,0.666666667,3,train_01
train_01_15,"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .",0,0.666666667,3,train_01
train_01_16,"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .",1,1,3,train_01
train_01_17,The attack on Karayogams had sparked sharp reactions from the CPM leaders .,1,0.666666667,3,train_01
train_01_18,`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,0,1,3,train_01
train_01_19,"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana , near Rustenburg in the North West , because he had not been in a position to witness an attack .",1,1,3,train_01
train_01_20,"`` I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .",1,0.666666667,3,train_01
train_01_21,He said he was about 100 metres away when he witnessed the attack .,0,1,3,train_01
